3
44661
1
1
128
-6.811523 -8.691406 -1.318359 
-5.761719 -9.838867 -1.318359 
-3.222656 -8.959961 -1.318359 
-5.273438 -10.791016 -1.318359 
-9.204102 -13.134766 -1.318359 
-8.715820 -10.888672 -1.318359 
-3.222656 -4.296875 -1.318359 
+0.903320 -0.219727 -1.318359 
+0.341797 -0.927734 -1.318359 
+0.048828 -2.172852 -1.318359 
-2.172852 -1.708984 -1.318359 
-1.684570 +2.954102 -1.318359 
+3.540039 +10.302734 -1.318359 
+5.834961 +12.670898 -1.318359 
+2.954102 +9.497070 -1.318359 
-1.660156 +4.077148 -1.293945 
-1.513672 +3.442383 -1.318359 
-0.683594 +5.761719 -1.318359 
-0.244141 +6.591797 -1.318359 
-3.076172 +3.076172 -1.318359 
-2.709961 +0.122070 -1.318359 
-3.442383 -2.709961 -1.318359 
-4.199219 -4.980469 -1.318359 
-2.465820 -3.881836 -1.318359 
+0.585938 -1.293945 -1.318359 
+3.173828 -0.781250 -1.318359 
+0.341797 -6.152344 -1.293945 
-4.248047 -11.523438 -1.318359 
-5.859375 -11.450195 -1.318359 
-5.590820 -11.181641 -1.318359 
-6.152344 -14.404297 -1.318359 
-6.518555 -16.040039 -1.318359 
-6.176758 -15.185547 -1.318359 
-6.542969 -13.549805 -1.318359 
-7.275391 -11.206055 -1.318359 
-5.908203 -9.863281 -1.318359 
-3.027344 -8.984375 -1.318359 
-2.050781 -7.983398 -1.318359 
+0.732422 -3.173828 -1.318359 
+4.663086 +0.878906 -1.318359 
+3.759766 -1.074219 -1.318359 
+0.415039 -5.102539 -1.318359 
+1.684570 -6.274414 -1.318359 
+0.415039 -5.932617 -1.318359 
+0.219727 -1.855469 -1.318359 
+2.270508 +2.441406 -1.318359 
+4.614258 +2.685547 -1.318359 
+5.712891 -0.292969 -1.318359 
+5.029297 -3.735352 -1.318359 
+4.760742 -5.200195 -1.318359 
+3.247070 -3.930664 -1.318359 
+2.197266 -1.293945 -1.318359 
+0.048828 -1.416016 -1.318359 
+0.878906 -3.881836 -1.318359 
+3.613281 -2.465820 -1.318359 
+7.299805 +1.904297 -1.318359 
+7.421875 +1.708984 -1.318359 
+5.273438 -0.097656 -1.318359 
+5.102539 +0.585938 -1.318359 
+6.665039 +1.806641 -1.318359 
+9.179688 +3.515625 -1.318359 
+9.008789 +4.345703 -1.318359 
+1.977539 +1.342773 -1.318359 
+2.929688 +0.073242 -1.318359 
+7.250977 +3.002930 -1.318359 
+9.326172 +9.033203 -1.318359 
+9.570313 +10.107422 -1.318359 
+11.352539 +10.522461 -1.318359 
+13.452148 +13.842773 -1.318359 
+19.409180 +18.676758 -1.318359 
+20.800781 +16.601563 -1.318359 
+17.602539 +14.794922 -1.318359 
+13.867188 +13.769531 -1.318359 
+12.670898 +15.966797 -1.318359 
+12.670898 +20.825195 -1.318359 
+14.160156 +23.071289 -1.318359 
+10.546875 +22.338867 -1.318359 
+11.547852 +19.311523 -1.318359 
+14.697266 +18.823242 -1.318359 
+11.425781 +18.383789 -1.318359 
+12.451172 +17.968750 -1.318359 
+10.571289 +15.356445 -1.318359 
+9.155273 +11.499023 -1.318359 
+7.006836 +9.204102 -1.318359 
+3.198242 +5.883789 -1.318359 
+0.219727 +2.050781 -1.318359 
-1.000977 -2.026367 -1.318359 
-1.684570 -3.906250 -1.342773 
-2.685547 -2.807617 -1.318359 
-0.488281 +1.416016 -1.318359 
-1.049805 +1.440430 -1.318359 
-3.222656 -1.098633 -1.318359 
-5.371094 -3.515625 -1.318359 
-4.858398 -5.834961 -1.318359 
-2.709961 -6.811523 -1.318359 
-4.638672 -4.809570 -1.318359 
-0.561523 -0.268555 -1.318359 
+0.683594 -1.391602 -1.318359 
-1.269531 -5.859375 -1.318359 
-7.250977 -12.084961 -1.318359 
-6.738281 -13.403320 -1.318359 
-5.444336 -14.038086 -1.318359 
-7.299805 -15.185547 -1.318359 
-9.594727 -14.233398 -1.318359 
-11.621094 -13.891602 -1.318359 
-9.252930 -12.377930 -1.318359 
-8.325195 -11.206055 -1.318359 
-7.910156 -10.034180 -1.318359 
-7.080078 -8.129883 -1.318359 
-7.202148 -6.152344 -1.318359 
-9.667969 -8.691406 -1.318359 
-11.523438 -10.156250 -1.318359 
-12.597656 -9.765625 -1.318359 
-11.474609 -7.373047 -1.318359 
-10.375977 -6.811523 -1.318359 
-9.082031 -6.274414 -1.318359 
-9.179688 -8.422852 -1.318359 
-11.206055 -11.254883 -1.318359 
-13.793945 -13.647461 -1.318359 
-13.916016 -11.816406 -1.318359 
-13.598633 -9.301758 -1.318359 
-10.986328 -5.859375 -1.318359 
-10.717773 -6.176758 -1.318359 
-11.523438 -7.495117 -1.318359 
-12.451172 -10.107422 -1.318359 
-10.595703 -7.666016 -1.318359 
-7.690430 -4.541016 -1.318359 
-6.298828 -3.466797 -1.318359 
-6.884766 -4.174805 -1.318359 
-8.642578 -4.418945 -1.318359 
-8.496094 -5.419922 -1.318359 
-6.958008 -5.053711 -1.318359 
-5.786133 -3.344727 -1.318359 
-6.469727 -2.026367 -1.318359 
-7.348633 -1.513672 -1.318359 
-8.129883 -4.370117 -1.318359 
-9.057617 -6.982422 -1.318359 
-9.228516 -6.689453 -1.318359 
-8.374023 -5.102539 -1.318359 
-7.690430 -3.955078 -1.318359 
-7.690430 -4.223633 -1.318359 
-7.958984 -5.078125 -1.318359 
-9.521484 -5.615234 -1.318359 
-8.666992 -3.100586 -1.318359 
-4.589844 +0.048828 -1.318359 
-4.516602 -0.830078 -1.318359 
-8.569336 -3.710938 -1.318359 
-11.401367 -5.712891 -1.318359 
-10.107422 -6.713867 -1.318359 
-9.399414 -7.861328 -1.318359 
-10.717773 -6.201172 -1.318359 
-10.668945 -4.174805 -1.318359 
-12.500000 -6.640625 -1.318359 
-14.135742 -9.887695 -1.318359 
-11.132813 -9.790039 -1.318359 
-8.789063 -10.180664 -1.318359 
-8.032227 -9.472656 -1.293945 
-7.788086 -5.371094 -1.318359 
-5.859375 -1.391602 -1.318359 
-2.343750 -1.489258 -1.318359 
-0.512695 -2.636719 -1.318359 
-3.442383 -4.394531 -1.318359 
-5.102539 -3.955078 -1.318359 
-5.590820 -1.977539 -1.318359 
-3.417969 +4.785156 -1.318359 
+2.099609 +10.864258 -1.293945 
+3.686523 +8.447266 -1.318359 
-3.442383 -1.049805 -1.318359 
-9.545898 -6.420898 -1.318359 
-10.644531 -7.617188 -1.318359 
-8.764648 -6.054688 -1.318359 
-3.955078 -3.125000 -1.318359 
+4.296875 +0.903320 -1.318359 
+6.127930 +0.805664 -1.318359 
+0.000000 -3.857422 -1.318359 
-5.126953 -6.835938 -1.318359 
-3.417969 -3.540039 -1.318359 
+1.269531 +3.295898 -1.318359 
+2.905273 +7.568359 -1.318359 
+6.225586 +9.350586 -1.318359 
+7.739258 +9.082031 -1.318359 
+4.614258 +7.006836 -1.318359 
+1.855469 +6.591797 -1.318359 
+1.489258 +7.592773 -1.318359 
+1.513672 +10.107422 -1.318359 
+1.440430 +9.936523 -1.318359 
+1.171875 +5.786133 -1.318359 
-2.807617 +1.464844 -1.318359 
-2.807617 +1.586914 -1.318359 
+3.222656 +5.566406 -1.318359 
+4.516602 +4.663086 -1.318359 
-2.587891 -1.123047 -1.318359 
-9.106445 -5.908203 -1.318359 
-10.034180 -6.250000 -1.318359 
