x0000,y0000
0.,7.0004658247
0.0040016006,-0.5943914175
0.0080032013,-4.806595596
0.0120048019,7.8297821421
0.0160064026,8.8331626729
0.0200080032,12.5954262933
0.0240096038,8.7502684283
0.0280112045,-1.9215605949
0.0320128051,0.6056276165
0.0360144058,8.7721475107
0.0400160064,11.6615356438
0.0440176070,4.7980223212
0.0480192077,4.7485526912
0.0520208083,11.871312257
0.056022409,4.0740427111
0.0600240096,5.9978532755
0.0640256102,11.5252094015
0.0680272109,7.0266566464
0.0720288115,8.6221365825
0.0760304122,5.2791892491
0.0800320128,10.2109465851
0.0840336134,16.2305931125
0.0880352141,7.0582226855
0.0920368147,13.7856335296
0.0960384154,12.3392720022
0.1000400160,17.4527549002
0.1040416166,17.6583979829
0.1080432173,5.4235760637
0.1120448179,1.6092639922
0.1160464186,4.5862010378
0.1200480192,8.3354317979
0.1240496198,7.8708088373
0.1280512205,8.3581762988
0.1320528211,8.2428845798
0.1360544218,9.1927937140
0.1400560224,14.0826142671
0.1440576230,15.2327156714
0.1480592237,12.6731449007
0.1520608243,18.1410497476
0.156062425,6.1115108144
0.1600640256,7.0690042985
0.1640656263,7.8177973328
0.1680672269,7.1516847161
0.1720688275,5.3459192965
0.1760704282,1.9993209275
0.1800720288,4.1632868139
0.1840736295,0.2833242971
0.1880752301,-8.8307793121
0.1920768307,2.1585188608
0.1960784314,-0.1911860428
0.2000800320,-0.5344452334
0.2040816327,-1.1616773567
0.2080832333,-2.2553282271
0.2120848339,4.3230343955
0.2160864346,10.7313379521
0.2200880352,14.6501896987
0.2240896359,10.1790420942
0.2280912365,9.0034078435
0.2320928371,14.7093056205
0.2360944378,14.508773268
0.2400960384,17.1946148445
0.2440976391,17.5412881890
0.2480992397,14.582247951
0.2521008403,18.7752299616
0.256102441,17.3406923671
0.2601040416,18.7836844083
0.2641056423,18.9869943236
0.2681072429,14.600778997
0.2721088435,11.0086898773
0.2761104442,7.1998555141
0.2801120448,14.3755867977
0.2841136455,8.7178418565
0.2881152461,5.2007896379
0.2921168467,21.4001185902
0.2961184474,24.9079650048
0.3001200480,20.2498466663
0.3041216487,21.5641545307
0.3081232493,25.1389925344
0.3121248499,26.5656840556
0.3161264506,20.5058380817
0.3201280512,13.2569882194
0.3241296519,3.5965629113
0.3281312525,-7.3436314956
0.3321328531,-4.3612632873
0.3361344538,0.7254341752
0.3401360544,11.1412056808
0.3441376551,11.4729846936
0.3481392557,12.094133274
0.3521408563,15.1524698564
0.356142457,4.8244506941
0.3601440576,5.5988486863
0.3641456583,9.3305965996
0.3681472589,6.0482642269
0.3721488595,3.8632387049
0.3761504602,5.2696478762
0.3801520608,12.4675828574
0.3841536615,9.5994530011
0.3881552621,7.3959034629
0.3921568627,3.9701105715
0.3961584634,-2.3820575194
0.4001600640,3.1061075063
0.4041616647,1.5975689619
0.4081632653,-4.202228403
0.4121648659,-4.2997400083
0.4161664666,-8.4918534302
0.4201680672,-8.0095510607
0.4241696679,-9.8657171262
0.4281712685,-11.162539043
0.4321728691,-5.9653209471
0.4361744698,-8.4768478359
0.4401760704,-3.5320324712
0.4441776711,-11.374914895
0.4481792717,-13.0838255278
0.4521808723,-12.1272012833
0.456182473,-20.6594791807
0.4601840736,-19.758302909
0.4641856743,-19.0455222230
0.4681872749,-22.4187454768
0.4721888756,-24.4993426951
0.4761904762,-25.3159784060
0.4801920768,-17.7175308196
0.4841936775,-12.1733477385
0.4881952781,-22.1159896399
0.4921968788,-18.3897125202
0.4961984794,-24.1742380936
0.5002000800,-23.1823345488
0.5042016807,-19.1758599513
0.5082032813,-19.7513518433
0.512204882,-19.6235857794
0.5162064826,-28.7126033881
0.5202080832,-25.2068619085
0.5242096839,-27.5798708013
0.5282112845,-37.5688478044
0.5322128852,-32.8313089727
0.5362144858,-31.9709935680
0.5402160864,-27.0016811701
0.5442176871,-28.1904778659
0.5482192877,-31.1616704281
0.5522208884,-31.4896209832
0.556222489,-33.6836383762
0.5602240896,-27.9228655745
0.5642256903,-34.4057070852
0.5682272909,-36.6066246890
0.5722288916,-33.632264408
0.5762304922,-47.9801983199
