Rank,Pair,N,CSP+LDA (%),Riemannian TS (%),Riemannian SVM (%),FBCSP (%),Welch PSD (%),Best Pipeline
1,WATER vs. ELECTRICITY,26,76.0 ± 23.3,60.7,60.7,76.0,54.7,CSP_ShrinkageLDA (76.0%)
2,FIRE vs. ELECTRICITY,16,66.7 ± 29.8,75.0,75.0,66.7,61.7,Riemannian_TangentSpace_SVM_Linear (75.0%)
3,WATER vs. WIND,26,69.3 ± 15.5,49.3,45.3,65.3,41.3,CSP_ShrinkageLDA (69.3%)
4,FIRE vs. WATER,26,65.3 ± 19.5,62.0,54.0,54.7,46.0,CSP_ShrinkageLDA (65.3%)
5,WIND vs. ELECTRICITY,16,60.0 ± 24.9,56.7,56.7,31.7,55.0,CSP_ShrinkageLDA (60.0%)
6,FIRE vs. WIND,16,41.7 ± 16.7,56.7,56.7,50.0,50.0,Riemannian_TangentSpace_SVM_Linear (56.7%)
