Rank,Pair,N,CSP+LDA (%),Riemannian TS (%),Riemannian SVM (%),FBCSP (%),Welch PSD (%),Best Pipeline
1,FIRE vs. WATER,26,49.3 ± 24.8,61.3,57.3,45.3,81.3,Welch_PSD_ShrinkageLDA (81.3%)
2,WATER vs. WIND,26,76.7 ± 8.4,61.3,58.0,76.7,58.0,CSP_ShrinkageLDA (76.7%)
3,WATER vs. ELECTRICITY,26,72.7 ± 10.4,73.3,73.3,64.7,38.0,Riemannian_TangentSpace_SVM_Linear (73.3%)
4,FIRE vs. WIND,16,68.3 ± 21.3,56.7,50.0,66.7,50.0,CSP_ShrinkageLDA (68.3%)
5,FIRE vs. ELECTRICITY,16,68.3 ± 21.3,63.3,63.3,66.7,50.0,CSP_ShrinkageLDA (68.3%)
6,WIND vs. ELECTRICITY,16,56.7 ± 13.3,38.3,31.7,56.7,55.0,CSP_ShrinkageLDA (56.7%)
