Rank,Pair,N,CSP+LDA (%),Riemannian TS (%),Riemannian SVM (%),FBCSP (%),Welch PSD (%),Best Pipeline
1,FIRE vs. WIND,32,43.8 ± 22.0,72.4,69.0,40.5,31.4,Riemannian_TangentSpace_LogReg (72.4%)
2,WATER vs. ELECTRICITY,32,71.9 ± 15.2,62.4,65.2,59.0,71.0,CSP_ShrinkageLDA (71.9%)
3,WATER vs. WIND,32,66.2 ± 13.2,68.6,62.4,52.9,65.2,Riemannian_TangentSpace_LogReg (68.6%)
4,FIRE vs. ELECTRICITY,32,59.5 ± 18.6,62.4,62.9,65.7,68.1,Welch_PSD_ShrinkageLDA (68.1%)
5,WIND vs. ELECTRICITY,32,64.8 ± 17.2,55.7,56.2,59.5,59.0,CSP_ShrinkageLDA (64.8%)
6,FIRE vs. WATER,32,46.7 ± 25.9,44.8,41.4,43.8,23.8,CSP_ShrinkageLDA (46.7%)
