Rank,Pair,N,CSP+LDA (%),Riemannian TS (%),Riemannian SVM (%),FBCSP (%),Welch PSD (%),Best Pipeline
1,FIRE vs. ELECTRICITY,54,55.5 ± 4.5,66.4,58.9,68.4,70.2,Welch_PSD_ShrinkageLDA (70.2%)
2,FIRE vs. WATER,64,56.0 ± 7.8,46.8,48.2,51.3,65.4,Welch_PSD_ShrinkageLDA (65.4%)
3,WATER vs. ELECTRICITY,64,53.2 ± 6.3,56.4,57.8,56.3,62.3,Welch_PSD_ShrinkageLDA (62.3%)
4,WATER vs. WIND,64,57.6 ± 9.3,53.2,53.1,57.6,59.2,Welch_PSD_ShrinkageLDA (59.2%)
5,WIND vs. ELECTRICITY,54,44.4 ± 13.0,57.1,53.6,57.5,49.8,FilterBank_CSP_LogReg (57.5%)
6,FIRE vs. WIND,54,53.6 ± 6.0,49.8,45.8,55.5,44.2,FilterBank_CSP_LogReg (55.5%)
