Rank,Pair,N,CSP+LDA (%),Riemannian TS (%),Riemannian SVM (%),FBCSP (%),Welch PSD (%),Best Pipeline
1,FIRE vs. WIND,38,44.3 ± 17.2,44.6,47.1,62.9,43.9,FilterBank_CSP_LogReg (62.9%)
2,FIRE vs. ELECTRICITY,38,52.5 ± 13.1,53.2,50.7,58.2,61.1,Welch_PSD_ShrinkageLDA (61.1%)
3,FIRE vs. WATER,38,26.1 ± 13.4,52.5,61.1,26.4,53.2,Riemannian_TangentSpace_SVM_Linear (61.1%)
4,WATER vs. ELECTRICITY,38,50.4 ± 11.5,52.9,55.7,50.0,41.8,Riemannian_TangentSpace_SVM_Linear (55.7%)
5,WATER vs. WIND,38,44.6 ± 18.8,39.3,36.4,47.5,29.3,FilterBank_CSP_LogReg (47.5%)
6,WIND vs. ELECTRICITY,38,39.6 ± 19.9,39.6,41.8,45.0,40.0,FilterBank_CSP_LogReg (45.0%)
