Rank,Pair,N,CSP+LDA (%),Riemannian TS (%),Riemannian SVM (%),FBCSP (%),Welch PSD (%),Best Pipeline
1,WIND vs. ELECTRICITY,102,57.8 ± 6.4,74.4,72.4,54.0,58.7,Riemannian_TangentSpace_LogReg (74.4%)
2,FIRE vs. ELECTRICITY,102,48.9 ± 8.1,73.5,69.6,48.1,63.8,Riemannian_TangentSpace_LogReg (73.5%)
3,WATER vs. ELECTRICITY,104,56.7 ± 5.7,67.3,68.2,51.0,63.5,Riemannian_TangentSpace_Ridge (72.1%)
4,FIRE vs. WIND,104,44.2 ± 8.0,57.7,58.6,49.0,65.3,Welch_PSD_ShrinkageLDA (65.3%)
5,WATER vs. WIND,106,48.1 ± 4.8,57.4,55.6,44.3,52.7,Riemannian_TangentSpace_Ridge (59.4%)
6,FIRE vs. WATER,106,49.9 ± 8.1,51.8,54.7,51.8,54.8,Riemannian_TangentSpace_Ridge (55.6%)
