EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-143908.635,-120434.584,-99801.999,-173189.837,-170380.728,-204791.936,-99608.876,72184.412,-0.118,1.003,-0.092,-0.671,-0.854,-0.702,66.667,37.000,1.000
-142662.089,-123791.549,-98058.459,-170350.383,-168538.816,-200883.444,-97183.414,67344.164,-0.118,1.003,-0.094,-0.732,-0.793,-0.854,66.667,38.000,1.000
-141014.291,-124678.236,-98881.005,-166814.312,-166297.728,-196830.572,-95646.653,63549.743,-0.119,1.004,-0.091,-0.793,-0.763,-0.977,66.667,39.000,1.000
-139608.894,-123457.721,-102449.338,-164513.873,-163167.746,-193130.888,-96516.112,60712.390,-0.121,1.005,-0.089,-0.854,-0.916,-1.099,66.667,40.000,1.000
-138082.932,-122204.102,-105004.044,-162886.628,-159259.350,-189170.457,-97727.422,57727.619,-0.119,1.004,-0.089,-0.854,-0.916,-1.160,66.667,41.000,1.000
-135802.569,-121941.431,-104274.235,-160161.830,-155112.573,-184252.629,-96948.229,54000.602,-0.120,1.002,-0.090,-0.946,-0.763,-1.221,66.667,42.000,1.000
-132822.720,-121893.088,-101979.027,-155857.615,-151115.393,-178542.100,-94466.949,49976.084,-0.121,1.002,-0.089,-0.916,-0.702,-1.312,66.667,43.000,1.000
-129772.336,-120955.531,-100956.692,-151150.693,-147202.380,-172797.935,-92281.394,46369.360,-0.119,0.998,-0.090,-0.916,-0.641,-1.404,66.667,44.000,1.000
-126979.891,-118969.128,-101571.157,-147141.770,-143045.072,-167445.205,-91357.303,43357.455,-0.118,0.995,-0.091,-0.885,-0.641,-1.495,66.667,45.000,1.000
-124110.557,-116516.709,-101875.428,-143614.937,-138433.322,-162192.660,-90751.537,40581.502,-0.118,0.992,-0.093,-0.671,-0.519,-1.556,66.667,46.000,1.000
-120721.676,-114154.374,-100425.124,-139648.432,-133480.601,-156511.968,-89156.706,37628.727,-0.119,0.992,-0.094,-0.549,-0.336,-1.587,66.667,47.000,1.000
