Rank,Pair,N,CSP+LDA (%),Riemannian TS (%),Riemannian SVM (%),FBCSP (%),Welch PSD (%),Best Pipeline
1,WATER vs. WIND,98,41.9 ± 9.2,52.2,56.2,46.9,65.4,Welch_PSD_ShrinkageLDA (65.4%)
2,FIRE vs. ELECTRICITY,93,49.6 ± 12.7,61.1,62.2,57.3,51.5,Riemannian_TangentSpace_SVM_Linear (62.2%)
3,WATER vs. ELECTRICITY,93,36.4 ± 7.8,57.1,59.3,41.0,52.8,Riemannian_TangentSpace_SVM_Linear (59.3%)
4,FIRE vs. WIND,98,50.9 ± 9.9,51.0,52.1,53.1,47.0,FilterBank_CSP_LogReg (53.1%)
5,FIRE vs. WATER,98,32.7 ± 6.9,44.9,49.9,32.7,37.8,Riemannian_TangentSpace_SVM_Linear (49.9%)
6,WIND vs. ELECTRICITY,93,30.1 ± 13.9,47.3,40.8,36.6,29.1,Riemannian_TangentSpace_LogReg (47.3%)
