Rank,Pair,N,CSP+LDA (%),Riemannian TS (%),Riemannian SVM (%),FBCSP (%),Welch PSD (%),Best Pipeline
1,WIND vs. ELECTRICITY,82,55.2 ± 13.9,74.3,74.2,53.9,57.8,Riemannian_TangentSpace_LogReg (74.3%)
2,FIRE vs. ELECTRICITY,80,42.5 ± 7.3,68.8,71.2,48.8,65.0,Riemannian_TangentSpace_Ridge (73.8%)
3,WATER vs. ELECTRICITY,82,56.1 ± 8.1,68.3,70.7,50.0,58.5,Riemannian_TangentSpace_Ridge (72.0%)
4,FIRE vs. WIND,82,43.9 ± 15.2,58.6,57.4,48.8,61.0,Welch_PSD_ShrinkageLDA (61.0%)
5,WATER vs. WIND,84,52.4 ± 8.4,59.5,57.2,48.8,46.4,Riemannian_TangentSpace_LogReg (59.5%)
6,FIRE vs. WATER,82,51.5 ± 11.0,49.0,56.2,53.5,57.2,Riemannian_TangentSpace_Ridge (57.4%)
